eid	origin	source	name	slot	rarity	groups	mechanic	status	also_seen_in	dupe_count
E0484	designdocs	DESIGN_DOC.md §5 Scoring v3 (combo, unbuilt)	Damage/antagonist reframing	rule			Points are reframed as damage dealt against an antagonist, Slay-the-Spire/TCG style, with row and column scorers becoming a combo system.			0
E0485	designdocs	DESIGN_DOC.md §11 Class list	Dancer / trick artist class	unknown			Class mechanical focus: specific formation bonuses.			0
E0486	designdocs	DESIGN_REFERENCES.md §D Cards, Gambling & Fortune	Dead Man's Hand	unknown			Scoring two pair, aces over eights, triggers a morbid jackpot plus a ghost event.			0
E0487	designdocs	DESIGN_DOC.md §20 Difficulty, Bosses & Win Cons	Debuff statuses	type			Cards can catch statuses via the status array, e.g. Exhausted (loses a rank at round end if it appeared on board this show).			0
E0488	designdocs	DESIGN_DOC.md §2 Core Game Loop v1	Deck-click drops loop	rule			Every click of the deck drops new cards down; a limited number of clicks/rounds are allowed per match.			0
E0489	designdocs	DESIGN_DOC.md §2 Core Game Loop	Deck influences ruleset	unknown			Different starting decks influence both the card pool and the rules the player plays under, via the rule deck.			0
E0490	designdocs	DESIGN_DOC.md §11 Skill taxonomy	Deck manipulation	unknown			Skill taxonomy category: cards that manipulate the deck.			0
E0491	designdocs	DESIGN_DOC.md §13 Special Decks & Variants	Deck unlocks as gimmick runs	unknown			Deck unlocks double as Balatro-style gimmick runs, unifying two systems into one.			0
E0492	designdocs	DESIGN_REFERENCES.md §A10 The Americas	Declared jump (Evel Knievel)	rule			Anchors the Booking system: declare a jump, sell tickets, then attempt to survive it.			0
E0493	designdocs	DESIGN_REFERENCES.md §A1 The Ancient World	Dedi's Resurrection	skill			Restore one destroyed card per show.			0
E0494	designdocs	DESIGN_DOC.md §4 Stacking & Movement Rules	Default stack legality	rule			A legal stack is an ascending or descending run; same-suit cards cannot stack.			0
E0495	designdocs	DESIGN_DOC.md §6 Card Anatomy & Pips	Deterministic own RNG	rule			The engine implements its own RNG with seed offsets that are themselves randomized per-seed, so everything stays deterministic.			0
E0496	designdocs	DESIGN_REFERENCES.md §F1 Theater & Opera	Deus ex machina consumable	consumable			One automatic show-save per run, deliberately framed as feeling like a cheat.			0
E0497	designdocs	DESIGN_REFERENCES.md §A11 South America	Devil Parade	unknown			Play debuffed cards as the show; each one scored converts its debuff into fame.			0
E0498	designdocs	DESIGN_REFERENCES.md §A5 China	Diabolo juggle	skill			A card is juggled between two columns, alternating position every Next and buffing both.			0
E0499	designdocs	DESIGN_DOC.md §15 Map content & UX	Disaster card packs	rule			Disaster card packs can appear on the board as a choosable option.			0
E0500	designdocs	DESIGN_DOC.md §17 Turn Resources	Discard-driven board building	rule			Discards are a main method of building the board: repeatedly discard Entrance cards until getting what's wanted, then let them drop; an upgrade chain grants more discards or more cards per discard.			0
E0501	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	Discard Joker (unnamed)	skill			Allows discarding 1 Entrance card per turn; upgradable to more discards or more cards per discard.			0
E0502	designdocs	DESIGN_REFERENCES.md §A16 Africa & the Arctic	Dispute settled by performance	unknown			A diplomatic show variant where a town dispute is settled by performance instead of score.			0
E0503	designdocs	DESIGN_DOC.md §13 Special Decks & Variants	Double Everything deck	unknown			Ranks are doubled, deck size doubled, initial slots doubled, score required doubled, card packs doubled.		braindump	1
E0504	designdocs	DESIGN_DOC.md §14.2 Stamps	Double Trigger	stamp			Card's effects trigger twice.			0
E0505	designdocs	DESIGN_REFERENCES.md §C1 Golden-Age Stage Magic	Dove production	skill			Scored melds release dove tokens: rank-1 fliers that land on random columns as free cards.			0
E0506	designdocs	DESIGN_REFERENCES.md §A5 China	Dragon meld	rule			A scored run moves as one body afterward, relocatable as a unit next turn.			0
E0507	designdocs	DESIGN_RECOMMENDATIONS.md §6 Special Effects	Drumroll	skill			The last meld scored this submit gets +mult.			0
E0508	designdocs	DESIGN_DOC.md §5 Scoring v2 (dual-axis, latest)	Dual-axis base scoring	rule			Base scoring combines vertical runs (with a minimum size) per column with horizontal poker hands per row.			0
E0509	designdocs	DESIGN_REFERENCES.md §A15 Iberia, Nordics & Eastern Europe	Duende	rule			A rare emergent state under specific combo/tension conditions triples a card's score with unique presentation; never purchasable, only summoned.			0
E0510	designdocs	DESIGN_DOC.md §3 Board & Zones	Duplicate rule card identifiers	rule			Duplicate rule cards (e.g. multiple zone adders) use their rank as an identifier.			0
E0511	designdocs	DESIGN_REFERENCES.md §A12 Australia & Oceania	Dynasty save bonus	unknown			A bonus for consecutive finished tours in one save file.			0
E0512	designdocs	DESIGN_DOC.md §14.3 Types	Earth / Air / Water / Fire materials	type			Elemental materials with custom movement, such as always sitting on top or bottom of a stack.			0
E0513	designdocs	DESIGN_DOC.md §25 Cross-Reference	Effect-order deck viewer	skill			An effect-viewer that shows skill trigger order even when the deck is randomized (could itself be implemented as a skill).			0
E0514	designdocs	DESIGN_DOC.md §10 Suits	Electric suit (proposed)	suit			Electric suit buffs cards that are connected/chained together in a certain way.		braindump	1
E0515	designdocs	DESIGN_REFERENCES.md §F6 Film Stunts & Spectacle Sports	Element boards (ice/water)	rule			Ice rows slide placed cards to the column's end; water rows let cards float/drift.			0
E0516	designdocs	DESIGN_DOC.md §4 Stacking & Movement Rules	Elemental custom movement	type			Elemental card types with custom movement rules, such as always sitting on top or bottom of a stack.			0
E0517	designdocs	DESIGN_REFERENCES.md §B2 Juggling & Object Manipulation	Elevate a prop	skill			Permanently convert one prop card into a feat card.			0
E0518	designdocs	DESIGN_RECOMMENDATIONS.md §2.2 Alt win cons: The Booking	Endless bookings	unknown			In endless mode, bookings become increasingly absurd contracts each repeat.			0
E0519	designdocs	DESIGN_DOC.md §15 Map (implemented)	Endless lap reversal	unknown			Finishing a lap enters endless mode: the tour reverses end-to-start on the same map, with goals scaling per lap and traveled history accumulating.			0
E0520	designdocs	DESIGN_DOC.md §15 Map v4 (FTL, latest)	Endless mode unlock	unknown			Finishing the final city wins the run and unlocks endless mode, repeating the final city with guaranteed repeating choices until the player loses.		braindump	1
E0521	designdocs	DESIGN_REFERENCES.md §G The Modern Era	Endurance lineage cards	skill			Modern endurance cards explicitly cite a lineage chain of ancestor cards (Hunger Artist family).			0
E0522	designdocs	DESIGN_REFERENCES.md §A10 The Americas	Engineer-impresario leader	type			Danger acts this leader 'designs' cost less.			0
E0523	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	Epic (chain)	skill			Doubles the chance of Legendary cards appearing.			0
E0524	designdocs	DESIGN_DOC.md §16 Economy & Shop	Escalating reroll cost	rule			Shop reroll/refresh costs increase with each use.			0
E0525	designdocs	DESIGN_DOC.md §11 Class list	Escape Artist / Stuntsman class	unknown			Class mechanical focus: negative-effects (debuffs).			0
E0526	designdocs	DESIGN_REFERENCES.md §A10 The Americas	Escaramuza formation bonus	skill			A synchronized-formation bonus for symmetrical board states.			0
E0527	designdocs	DESIGN_DOC.md §19 Meta Progression	Event-recycled prestige	unknown			An in-run event grants temporary prestige points to allocate, reusing the meta-progression system mid-run.			0
E0528	designdocs	DESIGN_DOC.md §8 Rule Deck (vetoed)	Every deck as its own solitaire board	unknown			Vetoed: making every deck (draw/discard/rule) itself a playable solitaire board with no layout control, leading to unsolvable boards.			0
E0529	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	Exchange Voucher	skill			Usable from the deck: swap it with any card currently on screen.			0
E0530	designdocs	DESIGN_DOC.md §16 Economy & Shop	Exponential price curve	rule			Card power/cost sits on an exponential curve: stronger cards are priced cheaper than linear scaling would suggest, since high cost trades off against flexibility.			0
E0531	designdocs	DESIGN_REFERENCES.md §E The Fairground, Midway & Business	Exposition City	boss			An enormous once-per-map goal where every suit is welcomed.			0
E0532	designdocs	DESIGN_REFERENCES.md §C1 Golden-Age Stage Magic	Exposure cost	rule			Revealing a Gaff's true nature (the player's own or a boss's) carries a cost.			0
E0533	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	Eye of God	skill			See all decks (including the rule deck) and their true descriptions.			0
E0534	designdocs	DESIGN_DOC.md §8 Rule Deck	Eye of God true vision	unknown			A prestige unlock grants 'true vision': seeing all decks (including the rule deck) and true card descriptions.			0
E0535	designdocs	DESIGN_DOC.md §7 Spotlight System	Eye stamp mini-art	stamp			The hidden-trigger (eye) stamp shows a miniature of the card's skill art inside the stamp icon.			0
E0536	designdocs	DESIGN_REFERENCES.md §F2 Kayfabe & Sports Entertainment	Face/heel alignment	rule			Cards have face/heel modes with different bonuses; towns prefer one alignment or the other.			0
E0537	designdocs	DESIGN_RECOMMENDATIONS.md §6 Concessions	Fairy Floss	skill			When scored, adjacent cards gain +1 rank for this show.			0
E0538	designdocs	DESIGN_RECOMMENDATIONS.md §2.1 Scoring: combo reframe	Fame as antagonist reframe	rule			Rename the goal score to 'Fame needed'; overscore grants tips; no separate enemy HP is added.			0
E0539	designdocs	DESIGN_DOC.md §2 Core Game Loop refinements	Fame banks at Continue	rule			Fame is only committed when the player presses Continue after a win, not at the outcome screen itself, so a win stays undoable until then.			0
E0540	designdocs	DESIGN_DOC.md §15 Map (implemented)	Fame gates pack rarity	rule			Accumulated fame raises a run-wide luck value that gates stamp/skill/type rolls in packs.			0
E0541	designdocs	DESIGN_DOC.md §15 Map v4 (FTL, latest)	Fame improves offer rarity	unknown			Total accumulated fame improves the rarity odds of card offers.			0
E0542	designdocs	DESIGN_DOC.md §5 Scoring (circus framing)	Fame/tips framing	rule			Scoring represents exciting the audience; cheering audio scales with score; overscoring pays out tips; the required score is the fame the show must earn.			0
E0543	designdocs	DESIGN_REFERENCES.md §A11 South America	Family-tent deck	unknown			Starts weak, but gains a permanent heirloom card each finished tour.			0
E0544	designdocs	DESIGN_REFERENCES.md §A8 Middle East, Central Asia, Mongolia	Festival mini-contest node	unknown			Win any 1 of 3 mini-contests (score/formation/speed) for the prize.			0
E0545	designdocs	DESIGN_DOC.md §11 Act types	Final Act	type			Deck-position type: shows up after all other cards are drawn, possibly carrying an extra multiplier.			0
E0546	designdocs	DESIGN_REFERENCES.md §B4 Danger Acts	Fire breather	skill			Projects a Flames buff across an entire row, then Exhausts itself.			0
E0547	designdocs	DESIGN_DOC.md §10 Suit-Props (implemented)	Fire = Burning status	suit			Fire drops a Burning status on its target, multiplying that card's own suit-effect prop count.			0
E0548	designdocs	DESIGN_REFERENCES.md §A12 Australia & Oceania	Fire-knife dual-suit pip	suit			A pip counting as both Knives and Flames suits simultaneously.			0
E0549	designdocs	DESIGN_DOC.md §10 Suits	Fireworks suit (proposed)	suit			Fireworks suit directly adds points to its column based on rank.			0
E0550	designdocs	DESIGN_DOC.md §11 Act types	First Act	type			Deck-position type: shows up alone, before any other cards are drawn.			0
E0551	designdocs	DESIGN_RECOMMENDATIONS.md §9 Events	First of May	unknown			A rookie joins: gain a random Common card with a hidden growth condition that upgrades it after scoring 10 times.			0
E0552	designdocs	DESIGN_DOC.md §14.3 Types	First / Second / Final Act (type entry)	type			Deck-position control types (see §11 Act types).			0
E0553	designdocs	DESIGN_RECOMMENDATIONS.md §4 Types (materials)	Flash	type			Scores triple points, but only the first time it would ever score, once per show.			0
E0554	designdocs	DESIGN_RECOMMENDATIONS.md §6 Animal Trainer	Flea Circus	skill			Scores as if it were 5 cards of rank 1, for combo-counting purposes.			0
E0555	designdocs	DESIGN_REFERENCES.md §A13 Korea & Southeast Asia	Flooded rows	rule			Water-covered rows let cards float (move freely sideways) while the cards beneath stay hidden but active.			0
E0556	designdocs	DESIGN_REFERENCES.md §B1 Aerial & Wire	Flyer & catcher system	skill			The Flyer card can be 'thrown' to any column containing the Catcher card.			0
E0557	designdocs	DESIGN_DOC.md §15 Map v3 (Biome tour)	Fog of war on choices	rule			Fog of war obscures further map choices ahead, themed as 'going on tour.'			0
E0558	designdocs	DESIGN_REFERENCES.md §E The Fairground, Midway & Business	Fog-of-war route arrows	rule			Arrow markers stay visible on map edges the player has already scouted.			0
E0559	designdocs	DESIGN_REFERENCES.md §A2 Medieval & Renaissance Europe	Fool's License	skill			Ignore one rule card of the player's choice while this card is spotlit.			0
E0560	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	Foot of God	skill			Switch locations with any card currently on screen.			0
E0561	designdocs	DESIGN_DOC.md §21 Events & Encounters	Forbidden-solitaire event mode	unknown			An event mode variant where clicking cards sends them directly to the player's hand.			0
E0562	designdocs	DESIGN_DOC.md §8 Rule Deck	Force-trigger via stacking	skill			A card that force-triggers a linked on-trigger card whenever it is tapped via stacking; judged probably too hard to implement well.			0
E0563	designdocs	DESIGN_DOC.md §20 Difficulty, Bosses & Win Cons	Formation alt win cons (rejected)	unknown			Rejected: alt win conditions tied to formations, since a crafted deck can guarantee the formation every time.			0
E0564	designdocs	DESIGN_DOC.md §11 Class list	Fortune Teller class	unknown			Class mechanical focus: deck manipulation.			0
E0565	designdocs	DESIGN_REFERENCES.md §A3 Golden Age Western Circus	Forward somersault (Con Colleano)	skill			Flip a card over the one directly above it (swap upward).			0
E0566	designdocs	DESIGN_REFERENCES.md §A5 China	Friendly Acrobat town	boss			Acrobat cards cost less here, and acrobat packs are guaranteed.			0
E0567	designdocs	DESIGN_DOC.md §15 Map v4 (FTL, latest)	FTL constellation map	rule			A constellation/DAG map with no backtracking; touring city to city builds fame; environmental hazards and surprise weather occur en route.			0
E0568	designdocs	DESIGN_REFERENCES.md §D Cards, Gambling & Fortune	Gambler leader (Poker Alice)	type			A leader built for a casino-flavored deck.			0
E0569	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	Genie's Wish	consumable			Choose a card to create a copy of in the player's hand.			0
E0570	designdocs	DESIGN_REFERENCES.md §B2 Juggling & Object Manipulation	Gentleman juggling	skill			Prop (non-feat) cards in this card's row count as Balls suit.			0
E0571	designdocs	DESIGN_REFERENCES.md §A3 Golden Age Western Circus	Gentling	rule			Animal cards can be buffed into loyalty instead of being consumed, as an alternative to eating mechanics.			0
E0572	designdocs	DESIGN_DOC.md §14.5 Summary-only cards	Ghost Card (summary)	stamp			Doesn't block Spotlight for cards beneath it.			0
E0573	designdocs	DESIGN_RECOMMENDATIONS.md §4 Types (materials)	Glass	type			Scores double points, but is destroyed (shatters) after being scored 3 times.			0
E0574	designdocs	DESIGN_DOC.md §15 Map (implemented)	Goal curve formula	rule			Show goals follow G0 x (N-hat/N0)^ALPHA x difficulty x BOSS x LAP^lap, baked per progress step with a monotone clamp.			0
E0575	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	Gold card	skill			Money-token card; heavy, so it always sinks to the bottom of the deck.			0
E0576	designdocs	DESIGN_REFERENCES.md §A5 China	Gold suit	suit			A literal money suit, playable as a normal suit as well as functioning as currency.			0
E0577	designdocs	DESIGN_DOC.md §16 Economy & Shop	Gold token cards	type			Gold cards are heavy token cards minted by Producer-class effects or money-on-trigger stamps.			0
E0578	designdocs	DESIGN_RECOMMENDATIONS.md §6 Special Effects	Grand Spec	skill			If all columns scored this submit, double the show's combo.			0
E0579	designdocs	DESIGN_REFERENCES.md §A8 Middle East, Central Asia, Mongolia	Gym node (Zurkhaneh)	unknown			Permanently +1 rank to one card; chivalry rule: only applies if that card has never been used to destroy another card.			0
E0580	designdocs	DESIGN_RECOMMENDATIONS.md §3 Suits & Pips	Half-step rank	rank			Rank of 5½ (etc.): stacks between 5 and 6 in a run but can never meld into a poker hand.			0
E0581	designdocs	DESIGN_REFERENCES.md §E The Fairground, Midway & Business	Hall of Mirrors	boss			The boss show duplicates the board's reflection with fake copies (Gaffs) of the player's cards to play around.			0
E0582	designdocs	DESIGN_DOC.md §12 Tapping / Cues & Charges	Halo charge display	rule			The halo doesn't resize but gains black divider lines to show remaining charge uses.			0
E0583	designdocs	DESIGN_REFERENCES.md §B1 Aerial & Wire	Handicap flourish	skill			Voluntarily debuff this card's move for double its score.			0
E0584	designdocs	DESIGN_RECOMMENDATIONS.md §3 Suits & Pips	Harlequin pip	suit			Dual-suit pip: counts as two suits at once for scoring purposes.			0
E0585	designdocs	DESIGN_REFERENCES.md §A3 Golden Age Western Circus	Head of state attends	unknown			Pass the show to permanently raise the fame floor.			0
E0586	designdocs	DESIGN_REFERENCES.md §F2 Kayfabe & Sports Entertainment	Heat as second currency	rule			Heel shows earn heat instead of fame; some towns pay more for a villain.			0
E0587	designdocs	DESIGN_DOC.md §14.3 Types	Heavy	type			Sinks to the bottom of the deck after shuffling.			0
E0588	designdocs	DESIGN_DOC.md §12 Tapping / Cues & Charges	Held-button full description	rule			Reading a card's full description requires holding a button or an info toggle (also applies in deck/pack viewers).			0
E0589	designdocs	DESIGN_DOC.md §14.5 Summary-only cards	Helium Card	type			Named version of the Light material: rises during Next.			0
E0590	designdocs	DESIGN_RECOMMENDATIONS.md §8 Towns, Bosses & Hazards	Hey Rube! (boss)	boss			Each submit, the rightmost column is attacked: cards there are debuffed unless guarded by a Stuntsman/Strongman card.			0
E0591	designdocs	DESIGN_REFERENCES.md §A15 Iberia, Nordics & Eastern Europe	Hidden bearers (costaleros)	rule			Covered cards beneath a scoring card add their ranks to it.			0
E0592	designdocs	DESIGN_REFERENCES.md §G The Modern Era	Hidden-identity reveal cards	rule			Identity/rarity is revealed only after N scores, as a fanfare moment.			0
E0593	designdocs	DESIGN_REFERENCES.md §C1 Golden-Age Stage Magic	Hidden micro-text art	unknown			A card's art contains legible hidden micro-text.			0
E0594	designdocs	DESIGN_DOC.md §8 Rule Deck	Hidden Rules Deck	rule			A normally-hidden Rules Deck holds cards that define the default ruleset (stacking, scoring, input/zone counts, draw-on-Next); changing the ruleset means changing cards in this deck.		braindump	1
E0595	designdocs	DESIGN_DOC.md §20 Difficulty, Bosses & Win Cons	High-score luck gates	unknown			Progress is gated behind occasional extreme high scores that demand luck or complicated decks, pushing toward dynamic, animated builds.			0
E0596	designdocs	DESIGN_REFERENCES.md §A1 The Ancient World	Hippodrome factions	boss			Each show, an audience faction favors one suit; ignoring them too long spawns a Riot boss.			0
E0597	designdocs	DESIGN_REFERENCES.md §F1 Theater & Opera	Hire a claque	unknown			Guarantees minimum fame this show, but demands payment at every subsequent show.			0
E0598	designdocs	DESIGN_DOC.md §21 Events & Encounters	History-driven strike/tax events	unknown			Run behavior triggers events: sacrificing too many talents causes a union strike; hoarding too many cards causes tax evasion (lose a portion of basic cards).			0
E0599	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	HONK	skill			On cue (tap), makes a honk noise; unlimited uses.		braindump	1
E0600	designdocs	DESIGN_REFERENCES.md §A5 China	Hoop tower	skill			Consecutive same-suit hoop cards multiply their score.			0
E0601	designdocs	DESIGN_REFERENCES.md §F4 Dance, Drag & Ballroom	Houses	rule			Cards belong to named houses with Mother/leader cards; category walks are judged-show scoring events.			0
E0602	designdocs	DESIGN_REFERENCES.md §A1 The Ancient World	Hundred Entertainments deck	unknown			A 100-card variant deck of all commons, focused on combo scoring.			0
E0603	designdocs	DESIGN_DOC.md §15 Map v4 (FTL, latest)	Hype mechanic	rule			Voluntarily double the fame required for the next show in exchange for better goodies.			0
E0604	designdocs	DESIGN_DOC.md §4 Stacking & Movement Rules	Illegal stack submission spot	rule			Early rule: an illegal stack could only be placed on the submission spot (removed with the loop v2 rewrite).			0
E0605	designdocs	DESIGN_DOC.md §14.3 Types	Immovable (unnamed)	type			Type that resists being moved once placed.			0
E0606	designdocs	DESIGN_REFERENCES.md §A10 The Americas	Improving town (Chautauqua)	boss			No Danger acts allowed, but Concessions/education-tagged cards score double.			0
E0607	designdocs	DESIGN_DOC.md §2 Core Game Loop v1	Incoming card mulligan	rule			Incoming cards can be mulliganed via a click + discard button before dropping.			0
E0608	designdocs	DESIGN_DOC.md §2 Core Game Loop v1	Incoming card rearrange	rule			Incoming cards can be rearranged before they drop into play.			0
E0609	designdocs	DESIGN_DOC.md §14.3 Types	Input	type			Zone-header type: on Next, drops its held stack to the paired lower column, then draws a new card.			0
E0610	designdocs	DESIGN_DOC.md §14.4 Rule cards	Input Adder (upper)	rule			Adds 1 Entrance input column per copy in the rule deck.			0
E0611	designdocs	DESIGN_REFERENCES.md §F1 Theater & Opera	Inverted-blessing naming	unknown			Debuff-granting cards carry well-wishing names, and vice versa.			0
E0612	designdocs	DESIGN_REFERENCES.md §A2 Medieval & Renaissance Europe	Jack-of-all-trades	skill			Counts as every class at once, but at half effect (masters none).			0
E0613	designdocs	DESIGN_REFERENCES.md §C1 Golden-Age Stage Magic	Jaded city (Richiardi)	boss			Only shock (Danger/negative) acts impress here; a horror-show variant scoring rule applies.			0
E0614	designdocs	DESIGN_REFERENCES.md §G The Modern Era	Jaded fear-show town	boss			Debuff-inflicting cards are the headliners in fear shows.			0
E0615	designdocs	DESIGN_RECOMMENDATIONS.md §8 Towns, Bosses & Hazards	John Robinson (elite)	boss			Shortened show: 2 submits instead of 3.			0
E0616	designdocs	DESIGN_REFERENCES.md §A11 South America	Judged-category scoring	rule			Some shows grade formation, suit variety, and stamps as separate scored categories instead of one total.			0
E0617	designdocs	DESIGN_REFERENCES.md §F1 Theater & Opera	Judged festival (City Dionysia)	boss			Scores in separate categories (best formation/suit spread/single meld) instead of one total.			0
E0618	designdocs	DESIGN_REFERENCES.md §B2 Juggling & Object Manipulation	Juggler leader (Rastelli)	type			Balls-suit cards can be kept aloft (re-scored) as long as one scores each submit.			0
E0619	designdocs	DESIGN_DOC.md §10 Suit projectiles v2	Jump/duck reactions	unknown			Feat cards dynamically jump up through hoops and duck under knives as projectiles pass.			0
E0620	designdocs	DESIGN_REFERENCES.md §A6 Japan	Karuta duel	unknown			A speed-pick minigame where the first click rewards.			0
E0621	designdocs	DESIGN_REFERENCES.md §A11 South America	Kneeling Devil	skill			A negative-effect card that, if kept a full tour, converts into a positive card at the final city.			0
E0622	designdocs	DESIGN_DOC.md §10 Suit-Props (implemented)	Knife suit	suit			Mirrors Hoop but launches from the opposite row side and scores plain (prop) cards instead of talents.			0
E0623	designdocs	DESIGN_DOC.md §10 Suit projectiles v1	Knives/Hoops horizontal projectiles	suit			Scored knife and hoop cards fly horizontally across their scored row; balls and fire drop down columns.			0
E0624	designdocs	DESIGN_REFERENCES.md §A6 Japan	Kuroko	stamp			This card is 'unseen': doesn't block Spotlight, can't be targeted by bosses.			0
E0625	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	Label / Evident	rule			Announces its rule-deck effect on the board even while the rule deck stays hidden.			0
E0626	designdocs	DESIGN_DOC.md §8 Rule Deck	Label/Evident card	skill			A card announces its rule-deck effect on the board while the rule deck itself stays hidden ('Baba Is You' visibility trick).			0
E0627	designdocs	DESIGN_REFERENCES.md §A2 Medieval & Renaissance Europe	Lazzi trigger-macros	skill			Equippable trigger-macros: small scripted combos a card can rehearse.			0
E0628	designdocs	DESIGN_DOC.md §14.3 Types	Leader (type entry)	type			Type that starts a card on the board or in the Entrance and boosts its group.			0
E0629	designdocs	DESIGN_DOC.md §11 Classes, Groups & Leaders	Leader chassis	type			Leader cards start already on the board (or in the Entrance) and do not leave play on submit; different starting decks ship different leaders.			0
E0630	designdocs	DESIGN_DOC.md §11 Classes, Groups & Leaders	Leader elemental fears	type			Optional debuff: some leaders fear fire/knives and cannot be placed on fire/knife cards.			0
E0631	designdocs	DESIGN_DOC.md §11 Classes, Groups & Leaders	Leader group boost	type			Cards belong to groups/classes, and leader cards boost their group.			0
E0632	designdocs	DESIGN_REFERENCES.md §C1 Golden-Age Stage Magic	Leader lineage succession	unknown			Retiring a maxed leader unlocks its heir with a carried-over power.			0
E0633	designdocs	DESIGN_RECOMMENDATIONS.md §6 Animal Trainer	Liberty Horses	skill			On Next, all Animal-tagged cards in the Entrance rearrange themselves into ascending order.			0
E0634	designdocs	DESIGN_DOC.md §14.3 Types	Light	type			Rises to the top of the deck (counterpart to Heavy, never built).			0
E0635	designdocs	DESIGN_DOC.md §7 Spotlight System	Literal spotlight beam	unknown			Triggering cards get a literal spotlight beam instead of a generic glow; the whole screen may dim during submit.			0
E0636	designdocs	DESIGN_RECOMMENDATIONS.md §4 Types (materials)	Lithograph	type			While in the Entrance (not the Ring), broadcasts its skill globally.			0
E0637	designdocs	DESIGN_DOC.md §2 Core Game Loop refinements	Live undo during resolution	rule			Pressing Undo during a resolving act cancels it: the resolution fast-forwards and the pre-act board state restores, with no act consumed.			0
E0638	designdocs	DESIGN_DOC.md §19 Meta Progression	Lore scraps unlock	unknown			Wins/actions unlock lore scraps.			0
E0639	designdocs	DESIGN_RECOMMENDATIONS.md §6 Animal Trainer	Mabel's Tigers	skill			Consumes the card it's dropped on (like Gluttony) but only prop cards; +rank per meal.			0
E0640	designdocs	DESIGN_DOC.md §13 Special Decks & Variants	Magic deck	unknown			Each suit is an element; submitting elemental combinations casts spells.		braindump	1
E0641	designdocs	DESIGN_DOC.md §11 Class list	Magician class	unknown			Class mechanical focus: card creation and deletion.			0
E0642	designdocs	DESIGN_REFERENCES.md §A6 Japan	Magician leader (Tenkatsu)	type			Produces token cards.			0
E0643	designdocs	DESIGN_DOC.md §16 Economy & Shop	Mana cards	type			Any card can serve as a resource instead of an abstract mana bar.			0
E0644	designdocs	DESIGN_DOC.md §10 Suit-Props (implemented)	Mancala targeting	suit			Ball/Fire projectiles are ballistic: a mancala walk down the column picks a fixed count of talent targets at spawn; Fire's eligibility skips talents and other Fire props.			0
E0645	designdocs	DESIGN_DOC.md §15 Map v4 (FTL, latest)	Map alternative topologies	rule			Alternatives considered: no final city (circle the map), must return to start, or visited points become revisitable after enough time passes.			0
E0646	designdocs	DESIGN_DOC.md §15 Map v1 (Minesweeper)	Map click seeds next drop	rule			Clicking a map card made it the first card dropped in the next match.			0
E0647	designdocs	DESIGN_DOC.md §15 Map (implemented)	MapNodeRoles	rule			Deterministically assigns show/booster/anchor roles to map nodes from the run seed.			0
E0648	designdocs	DESIGN_REFERENCES.md §D Cards, Gambling & Fortune	Marked stamp	stamp			The player always knows where this card currently sits in the deck.			0
E0649	designdocs	DESIGN_REFERENCES.md §A3 Golden Age Western Circus	Marketed monster	skill			Terrifies (debuffs) adjacent cards while secretly being a gentle Humbug.			0
E0650	designdocs	DESIGN_REFERENCES.md §A13 Korea & Southeast Asia	Masked satire (Talchum)	rule			Heat (infamy) is earned safely because a mask absorbs the town's anger.			0
E0651	designdocs	DESIGN_DOC.md §14.2 Stamps	Maximum Effort / Exhaust	stamp			Double (or flat bonus) points from this card on score; only refreshes if the card is NOT played/scored the following show.			0
E0652	designdocs	DESIGN_REFERENCES.md §E The Fairground, Midway & Business	Meal call (cookhouse flag)	rule			A mid-tour rest tick heals one debuff per card, once per region.			0
E0653	designdocs	DESIGN_REFERENCES.md §A13 Korea & Southeast Asia	Mid-show instant tips	rule			Overscoring a single meld pays out instantly instead of at show end.			0
E0654	designdocs	DESIGN_RECOMMENDATIONS.md §6 Escape Artist/Stuntsman	Milk Can	skill			Cue: place a card inside; it leaves play; retrieve it any later turn.			0
E0655	designdocs	DESIGN_DOC.md §15 Map v1 (Minesweeper)	Minesweeper board	boss			Full deck laid face-down; only cards adjacent to a revealed card can be clicked; clicking triggers a battle for that card and reveals its neighbors; win by uncovering all cards.			0
E0656	designdocs	DESIGN_DOC.md §21 Events & Encounters	Mini-game score-free events	unknown			Some encounters replace score-to-win with alternate win-con puzzles, e.g. 'trigger 5 times to win.'			0
E0657	designdocs	DESIGN_REFERENCES.md §A2 Medieval & Renaissance Europe	Misdirection theft	unknown			When the biggest meld of a submit scores, a pickpocket event may trigger, or a card steals from the town for bonus gold.			0
E0658	designdocs	DESIGN_REFERENCES.md §A2 Medieval & Renaissance Europe	Misrule show	unknown			For one show, all ranks are reversed (2 counts high, King counts low); winning it pays huge tips.			0
E0659	designdocs	DESIGN_REFERENCES.md §A2 Medieval & Renaissance Europe	Mobile pageant zone	rule			A zone/column relocates each turn.			0
